Experiment,width of patch,width of substrate,length of substrate,width of slot,Length of slot,Length of patch,Simulation tool used,Dielectric constant,Thickness of substrate,Resultant Frequency (GHz),Return Loss (S11) dB,gain (dBi),Substrate Material,,,,,,,,,
409,27.11,43.29,36.21,0.06,4.76,35.26,HFSS,10.7,0.175,1.30,-15.76,-6.46,Duroid 6010,,,,,,,,,
410,22.38,44.72,46.44,0.36,9.02,35.89,HFSS,10.7,1.5,1.28,-6.77,-7.37,Duroid 6010,,,,,,,,,
411,23.29,38.76,39.07,0.51,8.59,35.89,HFSS,10.7,1.5,1.28,-25.32,-7.20,Duroid 6010,,,,,,,,,
412,21.36,46.90,36.63,0.11,6.96,35.26,HFSS,10.7,0.175,1.30,-13.29,-7.50,Duroid 6010,,,,,,,,,
413,27.08,52.29,56.53,0.59,7.83,35.89,HFSS,10.7,1.5,1.28,-16.36,-6.55,Duroid 6010,,,,,,,,,
414,29.08,45.48,48.76,0.76,7.49,35.89,HFSS,10.7,1.5,1.28,-20.29,-6.24,Duroid 6010,,,,,,,,,
415,20.97,44.81,36.38,0.08,5.12,35.26,HFSS,10.7,0.175,1.30,-26.32,-7.58,Duroid 6010,,,,,,,,,
416,45.97,24.17,53.88,0.38,4.62,35.26,HFSS,10.7,0.175,1.30,-23.45,-4.17,Duroid 6010,,,,,,,,,
417,46.70,54.09,42.30,0.64,10.01,40.47,HFSS,10.7,1.58,1.13,-18.96,-4.70,Duroid 6010,,,,,,,,,
418,43.18,44.08,41.38,0.59,6.67,35.89,HFSS,10.7,1.5,1.28,-19.72,-4.52,Duroid 6010,,,,,,,,,
419,22.72,48.11,46.87,0.37,9.29,35.89,HFSS,10.7,1.5,1.28,-15.21,-7.31,Duroid 6010,,,,,,,,,
420,26.79,61.05,58.09,0.26,2.36,35.26,HFSS,10.7,0.175,1.30,-6.08,-6.52,Duroid 6010,,,,,,,,,
421,37.48,43.20,35.40,0.06,6.97,35.26,HFSS,10.7,0.175,1.30,-17.37,-5.06,Duroid 6010,,,,,,,,,
422,23.56,61.93,51.05,1.27,10.17,40.47,HFSS,10.7,1.58,1.13,-14.22,-7.67,Duroid 6010,,,,,,,,,
423,21.31,61.81,34.56,0.59,7.24,35.89,HFSS,10.7,1.5,1.28,-5.14,-7.59,Duroid 6010,,,,,,,,,
424,48.15,61.74,47.33,0.97,6.33,40.47,HFSS,10.7,1.58,1.13,-5.98,-4.57,Duroid 6010,,,,,,,,,
425,22.67,49.35,47.15,0.24,6.23,35.89,HFSS,10.7,1.5,1.28,-29.73,-7.32,Duroid 6010,,,,,,,,,
426,31.43,46.26,43.10,0.90,8.70,40.47,HFSS,10.7,1.58,1.13,-5.45,-6.42,Duroid 6010,,,,,,,,,
427,29.72,52.85,46.82,1.11,9.51,40.47,HFSS,10.7,1.58,1.13,-22.40,-6.66,Duroid 6010,,,,,,,,,
428,32.29,40.75,49.86,0.63,8.90,35.89,HFSS,10.7,1.5,1.28,-27.87,-5.78,Duroid 6010,,,,,,,,,
429,40.56,46.14,36.79,0.25,8.60,35.89,HFSS,10.7,1.5,1.28,-16.44,-4.79,Duroid 6010,,,,,,,,,
430,23.37,41.21,40.62,0.51,8.34,35.89,HFSS,10.7,1.5,1.28,-25.04,-7.19,Duroid 6010,,,,,,,,,
431,47.63,53.84,40.78,1.28,8.43,40.47,HFSS,10.7,1.58,1.13,-26.28,-4.62,Duroid 6010,,,,,,,,,
432,56.27,23.01,56.71,0.61,3.02,35.26,HFSS,10.7,0.175,1.30,-13.69,-3.29,Duroid 6010,,,,,,,,,
433,42.84,55.47,53.83,0.38,8.30,35.89,HFSS,10.7,1.5,1.28,-26.41,-4.55,Duroid 6010,,,,,,,,,
434,26.41,45.49,38.62,0.06,4.95,35.26,HFSS,10.7,0.175,1.30,-29.61,-6.58,Duroid 6010,,,,,,,,,
435,48.86,53.64,41.63,1.21,8.76,40.47,HFSS,10.7,1.58,1.13,-25.60,-4.50,Duroid 6010,,,,,,,,,
436,24.21,52.13,44.55,0.91,7.10,40.47,HFSS,10.7,1.58,1.13,-23.81,-7.55,Duroid 6010,,,,,,,,,
437,27.13,22.89,43.31,0.52,3.76,35.26,HFSS,10.7,0.175,1.30,-23.09,-6.46,Duroid 6010,,,,,,,,,
438,43.56,56.52,52.01,0.38,8.30,35.89,HFSS,10.7,1.5,1.28,-23.89,-4.48,Duroid 6010,,,,,,,,,
439,19.62,25.66,30.72,0.26,3.29,31,HFSS,10.7,0.175,1.48,-26.69,-7.31,Duroid 6010,,,,,,,,,
440,29.81,45.34,31.54,0.49,6.21,31,HFSS,10.7,0.175,1.48,-9.27,-5.49,Duroid 6010,,,,,,,,,
441,32.23,52.46,36.48,0.37,6.70,35.89,HFSS,10.7,1.5,1.28,-27.07,-5.79,Duroid 6010,,,,,,,,,
442,18.74,36.23,45.28,0.38,2.27,35.26,HFSS,10.7,0.175,1.30,-24.38,-8.07,Duroid 6010,,,,,,,,,
443,35.00,55.50,52.64,0.77,6.54,35.89,HFSS,10.7,1.5,1.28,-9.24,-5.43,Duroid 6010,,,,,,,,,
444,28.39,70.58,40.54,0.36,3.16,35.26,HFSS,10.7,0.175,1.30,-29.24,-6.26,Duroid 6010,,,,,,,,,
445,19.29,44.53,48.55,0.50,3.01,35.26,HFSS,10.7,0.175,1.30,-28.05,-7.94,Duroid 6010,,,,,,,,,
446,45.61,43.28,45.10,0.73,5.85,35.89,HFSS,10.7,1.5,1.28,-29.48,-4.28,Duroid 6010,,,,,,,,,
447,35.28,49.20,36.09,0.26,5.93,31,HFSS,10.7,0.175,1.48,-22.64,-4.76,Duroid 6010,,,,,,,,,
448,45.86,56.54,48.73,0.36,8.36,35.89,HFSS,10.7,1.5,1.28,-29.76,-4.26,Duroid 6010,,,,,,,,,
449,44.90,43.96,35.89,0.75,6.04,35.89,HFSS,10.7,1.5,1.28,-28.76,-4.35,Duroid 6010,,,,,,,,,
450,18.92,23.87,40.77,0.26,1.48,35.26,HFSS,10.7,0.175,1.30,-12.02,-8.02,Duroid 6010,,,,,,,,,
451,31.92,54.60,41.50,0.24,7.19,35.89,HFSS,3.6,1.5,2.20,-6.15,-1.10,Nylon fabric,,,,,,,,,
452,39.51,31.91,30.99,0.73,5.52,31,HFSS,3.6,0.175,2.55,-19.31,0.46,Nylon fabric,,,,,,,,,
453,37.99,63.50,49.27,0.38,5.85,35.89,HFSS,3.6,1.5,2.20,-23.51,-0.34,Nylon fabric,,,,,,,,,
454,57.49,23.32,60.97,0.60,2.97,35.26,HFSS,3.6,0.175,2.24,-5.59,1.53,Nylon fabric,,,,,,,,,
455,40.47,53.23,52.12,0.98,4.82,40.47,HFSS,3.6,1.58,1.95,-19.53,-0.59,Nylon fabric,,,,,,,,,
456,37.12,49.39,55.34,0.59,8.28,35.89,HFSS,3.6,1.5,2.20,-23.74,-0.44,Nylon fabric,,,,,,,,,
457,26.86,43.77,37.65,0.12,4.11,35.26,HFSS,3.6,0.175,2.24,-7.46,-1.77,Nylon fabric,,,,,,,,,
458,29.31,46.79,55.09,0.72,1.58,35.26,HFSS,3.6,0.175,2.24,-27.08,-1.39,Nylon fabric,,,,,,,,,
459,47.23,52.33,40.62,1.19,8.30,40.47,HFSS,3.6,1.58,1.95,-26.88,0.08,Nylon fabric,,,,,,,,,
460,30.28,63.06,42.58,0.76,7.27,40.47,HFSS,3.6,1.58,1.95,-13.62,-1.85,Nylon fabric,,,,,,,,,
461,33.24,45.32,37.80,0.12,4.99,35.26,HFSS,3.6,0.175,2.24,-17.75,-0.85,Nylon fabric,,,,,,,,,
462,29.38,61.92,41.83,0.82,7.32,40.47,HFSS,3.6,1.58,1.95,-24.56,-1.98,Nylon fabric,,,,,,,,,
463,25.54,26.91,35.60,0.49,5.93,31,HFSS,3.6,0.175,2.55,-20.90,-1.43,Nylon fabric,,,,,,,,,
464,48.02,33.75,57.22,0.49,1.58,35.26,HFSS,3.6,0.175,2.24,-23.49,0.75,Nylon fabric,,,,,,,,,
465,50.63,62.28,47.54,0.91,6.18,40.47,HFSS,3.6,1.58,1.95,-9.66,0.38,Nylon fabric,,,,,,,,,
466,37.96,50.81,44.97,0.37,6.61,35.89,HFSS,3.6,1.5,2.20,-22.20,-0.35,Nylon fabric,,,,,,,,,
467,38.35,44.80,37.69,0.08,7.79,35.26,HFSS,3.6,0.175,2.24,-23.01,-0.23,Nylon fabric,,,,,,,,,
468,40.36,32.99,30.99,0.77,5.48,31,HFSS,3.6,0.175,2.55,-27.56,0.55,Nylon fabric,,,,,,,,,
469,29.22,60.97,57.91,0.24,2.22,35.26,HFSS,3.6,0.175,2.24,-20.79,-1.41,Nylon fabric,,,,,,,,,
470,46.98,59.36,45.18,0.74,2.92,35.26,HFSS,3.6,0.175,2.24,-12.95,0.65,Nylon fabric,,,,,,,,,
471,32.22,43.64,35.30,0.06,6.29,35.26,HFSS,3.6,0.175,2.24,-26.87,-0.98,Nylon fabric,,,,,,,,,
472,21.05,42.48,35.63,0.07,4.08,35.26,HFSS,3.6,0.175,2.24,-26.42,-2.83,Nylon fabric,,,,,,,,,
473,38.45,43.52,35.24,0.06,7.05,35.26,HFSS,3.6,0.175,2.24,-15.32,-0.22,Nylon fabric,,,,,,,,,
474,45.20,41.56,36.54,0.11,5.82,35.26,HFSS,3.6,0.175,2.24,-9.02,0.49,Nylon fabric,,,,,,,,,
475,34.58,49.61,44.77,1.22,5.95,40.47,HFSS,3.6,1.58,1.95,-26.96,-1.28,Nylon fabric,,,,,,,,,
476,47.17,51.30,40.47,1.30,8.92,40.47,HFSS,3.6,1.58,1.95,-10.96,0.07,Nylon fabric,,,,,,,,,
477,44.60,50.79,49.45,0.49,7.19,35.89,HFSS,3.6,1.5,2.20,-16.53,0.35,Nylon fabric,,,,,,,,,
478,37.26,53.82,54.18,0.59,8.54,35.89,HFSS,3.6,1.5,2.20,-28.30,-0.43,Nylon fabric,,,,,,,,,
479,18.66,35.01,44.30,0.38,2.23,35.26,HFSS,3.6,0.175,2.24,-12.76,-3.36,Nylon fabric,,,,,,,,,
480,39.11,47.18,36.04,0.06,7.27,35.26,HFSS,3.6,0.175,2.24,-10.15,-0.14,Nylon fabric,,,,,,,,,
481,19.81,45.13,38.42,0.63,5.70,31,HFSS,3.6,0.175,2.55,-14.86,-2.54,Nylon fabric,,,,,,,,,
482,28.19,42.25,42.97,0.24,6.83,35.89,HFSS,3.6,1.5,2.20,-10.58,-1.64,Nylon fabric,,,,,,,,,
483,33.49,44.01,55.02,0.52,5.93,35.89,HFSS,3.6,1.5,2.20,-8.86,-0.89,Nylon fabric,,,,,,,,,
484,36.32,54.42,52.15,0.77,8.79,40.47,HFSS,3.6,1.58,1.95,-5.89,-1.06,Nylon fabric,,,,,,,,,
485,24.13,30.68,35.71,0.61,6.35,31,HFSS,3.6,0.175,2.55,-25.63,-1.68,Nylon fabric,,,,,,,,,
486,34.06,37.31,30.85,0.63,3.98,31,HFSS,3.6,0.175,2.55,-6.30,-0.18,Nylon fabric,,,,,,,,,
487,37.88,54.71,52.78,0.81,8.48,40.47,HFSS,3.6,1.58,1.95,-28.30,-0.88,Nylon fabric,,,,,,,,,
488,38.93,63.67,51.76,0.73,8.52,35.89,HFSS,3.6,1.5,2.20,-18.24,-0.24,Nylon fabric,,,,,,,,,
489,38.13,46.75,57.02,0.39,3.69,35.26,HFSS,3.6,0.175,2.24,-7.42,-0.25,Nylon fabric,,,,,,,,,
490,48.55,59.47,49.75,0.91,6.16,40.47,HFSS,3.6,1.58,1.95,-8.21,0.20,Nylon fabric,,,,,,,,,
491,39.18,40.06,33.06,0.25,6.35,31,HFSS,3.6,0.175,2.55,-5.95,0.43,Nylon fabric,,,,,,,,,
492,42.99,44.51,35.37,0.08,3.99,35.26,HFSS,3.6,0.175,2.24,-29.96,0.27,Nylon fabric,,,,,,,,,
493,33.63,43.30,37.25,0.10,7.72,35.26,HFSS,3.6,0.175,2.24,-28.47,-0.80,Nylon fabric,,,,,,,,,
494,18.75,45.79,47.78,0.50,2.93,35.26,HFSS,3.6,0.175,2.24,-21.34,-3.33,Nylon fabric,,,,,,,,,
495,50.71,58.27,48.08,0.95,6.24,40.47,HFSS,3.6,1.58,1.95,-25.82,0.39,Nylon fabric,,,,,,,,,
496,47.21,54.62,43.07,0.63,9.62,40.47,HFSS,3.6,1.58,1.95,-27.96,0.08,Nylon fabric,,,,,,,,,
497,25.03,49.80,42.22,0.60,4.86,40.47,HFSS,3.6,1.58,1.95,-17.89,-2.68,Nylon fabric,,,,,,,,,
498,43.06,51.06,54.07,0.94,5.00,40.47,HFSS,3.6,1.58,1.95,-26.90,-0.32,Nylon fabric,,,,,,,,,
499,43.36,60.87,55.31,0.25,8.83,35.89,HFSS,3.6,1.5,2.20,-11.60,0.23,Nylon fabric,,,,,,,,,
500,37.37,22.55,48.05,0.74,2.22,35.26,HFSS,3.6,0.175,2.24,-6.05,-0.34,Nylon fabric,,,,,,,,,
501,29.80,38.29,44.43,0.38,5.79,31,HFSS,3.6,0.175,2.55,-11.36,-0.76,Nylon fabric,,,,,,,,,
502,35.06,58.01,39.91,0.25,7.71,35.89,HFSS,3.6,1.5,2.20,-20.77,-0.69,Nylon fabric,,,,,,,,,
503,48.19,60.71,47.29,0.95,6.23,40.47,HFSS,3.6,1.58,1.95,-14.54,0.17,Nylon fabric,,,,,,,,,
504,29.53,49.36,41.90,0.96,9.04,40.47,HFSS,3.6,1.58,1.95,-26.96,-1.96,Nylon fabric,,,,,,,,,
505,47.83,70.06,47.90,0.26,3.66,35.26,HFSS,3.6,0.175,2.24,-21.22,0.73,Nylon fabric,,,,,,,,,
506,39.22,46.30,36.23,0.39,3.23,31,HFSS,3.6,0.175,2.55,-19.50,0.43,Nylon fabric,,,,,,,,,
507,23.78,43.99,42.58,0.24,4.09,31,HFSS,3.6,0.175,2.55,-29.13,-1.74,Nylon fabric,,,,,,,,,
508,32.33,57.51,41.89,0.25,7.11,35.89,HFSS,3.6,1.5,2.20,-26.41,-1.05,Nylon fabric,,,,,,,,,
509,45.79,47.33,39.87,0.63,6.69,35.89,HFSS,3.6,1.5,2.20,-27.82,0.47,Nylon fabric,,,,,,,,,
510,35.48,54.90,42.92,0.93,9.80,40.47,HFSS,3.6,1.58,1.95,-10.25,-1.16,Nylon fabric,,,,,,,,,
511,36.24,54.67,54.24,0.79,8.92,40.47,HFSS,3.6,1.58,1.95,-25.67,-1.07,Nylon fabric,,,,,,,,,
512,22.67,42.88,35.58,0.08,4.83,35.26,HFSS,3.6,0.175,2.24,-22.10,-2.51,Nylon fabric,,,,,,,,,
513,27.58,58.86,34.61,0.49,9.32,35.89,HFSS,3.6,1.5,2.20,-9.80,-1.74,Nylon fabric,,,,,,,,,
514,37.20,59.64,41.16,0.52,4.45,35.26,HFSS,3.6,0.175,2.24,-29.74,-0.36,Nylon fabric,,,,,,,,,
515,46.00,54.79,50.06,0.39,8.46,35.89,HFSS,3.6,1.5,2.20,-12.14,0.49,Nylon fabric,,,,,,,,,
516,40.00,53.92,49.00,0.74,9.24,35.89,HFSS,3.6,1.5,2.20,-27.35,-0.12,Nylon fabric,,,,,,,,,
517,35.56,72.01,42.03,0.62,1.54,35.26,HFSS,3.6,0.175,2.24,-18.37,-0.55,Nylon fabric,,,,,,,,,
518,34.72,52.50,49.97,0.60,7.07,40.47,HFSS,3.6,1.58,1.95,-24.96,-1.26,Nylon fabric,,,,,,,,,
519,36.93,47.08,38.20,0.06,7.16,35.26,HFSS,3.6,0.175,2.24,-7.65,-0.39,Nylon fabric,,,,,,,,,
520,23.31,44.58,45.82,0.39,8.78,35.89,HFSS,3.6,1.5,2.20,-12.46,-2.47,Nylon fabric,,,,,,,,,
521,42.42,44.34,38.69,0.11,5.79,35.26,HFSS,3.6,0.175,2.24,-28.88,0.21,Nylon fabric,,,,,,,,,
522,38.26,59.46,39.18,0.48,4.55,35.26,HFSS,3.6,0.175,2.24,-12.57,-0.24,Nylon fabric,,,,,,,,,
523,39.72,52.76,45.72,0.35,6.44,35.89,HFSS,3.6,1.5,2.20,-29.10,-0.15,Nylon fabric,,,,,,,,,
524,48.61,34.57,60.10,0.51,1.55,35.26,HFSS,3.6,0.175,2.24,-24.68,0.80,Nylon fabric,,,,,,,,,
525,20.70,24.79,31.83,0.26,3.21,31,HFSS,3.6,0.175,2.55,-28.28,-2.35,Nylon fabric,,,,,,,,,
526,34.74,39.44,31.39,0.63,4.20,31,HFSS,3.6,0.175,2.55,-18.34,-0.10,Nylon fabric,,,,,,,,,
527,44.59,49.63,47.74,0.49,7.36,35.89,HFSS,3.6,1.5,2.20,-26.65,0.35,Nylon fabric,,,,,,,,,
528,32.07,63.49,44.91,0.72,8.28,35.89,HFSS,3.6,1.5,2.20,-21.70,-1.08,Nylon fabric,,,,,,,,,
529,27.94,46.34,36.12,0.06,5.02,35.26,HFSS,3.6,0.175,2.24,-15.14,-1.60,Nylon fabric,,,,,,,,,
530,27.36,71.74,37.51,0.36,3.10,35.26,HFSS,3.6,0.175,2.24,-23.00,-1.69,Nylon fabric,,,,,,,,,
531,36.81,52.66,54.75,0.79,9.03,40.47,HFSS,3.6,1.58,1.95,-20.98,-1.00,Nylon fabric,,,,,,,,,
532,42.61,65.52,54.31,0.25,8.90,35.89,HFSS,3.6,1.5,2.20,-23.29,0.15,Nylon fabric,,,,,,,,,
533,45.76,22.28,53.53,0.35,4.43,35.26,HFSS,3.6,0.175,2.24,-26.74,0.54,Nylon fabric,,,,,,,,,
534,22.22,44.02,35.01,0.08,5.17,35.26,HFSS,3.6,0.175,2.24,-17.76,-2.60,Nylon fabric,,,,,,,,,
535,43.18,63.56,53.18,0.25,8.55,35.89,HFSS,3.6,1.5,2.20,-11.44,0.21,Nylon fabric,,,,,,,,,
536,43.25,45.73,39.64,0.62,6.73,35.89,HFSS,3.6,1.5,2.20,-21.95,0.22,Nylon fabric,,,,,,,,,
537,45.84,44.49,44.76,0.74,5.70,35.89,HFSS,3.6,1.5,2.20,-27.50,0.47,Nylon fabric,,,,,,,,,
538,24.99,26.12,34.90,0.51,5.96,31,HFSS,3.6,0.175,2.55,-14.01,-1.53,Nylon fabric,,,,,,,,,
539,34.00,56.07,52.52,0.73,6.62,35.89,HFSS,3.6,1.5,2.20,-20.47,-0.83,Nylon fabric,,,,,,,,,
540,18.81,48.99,50.10,0.48,2.96,35.26,HFSS,3.6,0.175,2.24,-20.08,-3.32,Nylon fabric,,,,,,,,,
541,33.97,52.47,53.68,0.24,5.70,35.89,HFSS,3.6,1.5,2.20,-19.26,-0.83,Nylon fabric,,,,,,,,,
542,38.68,26.64,43.43,0.61,4.97,31,HFSS,3.6,0.175,2.55,-22.39,0.37,Nylon fabric,,,,,,,,,
543,53.85,56.24,49.09,0.35,1.57,35.26,HFSS,3.6,0.175,2.24,-26.71,1.25,Nylon fabric,,,,,,,,,
544,22.37,40.86,38.42,0.48,8.05,35.89,HFSS,3.6,1.5,2.20,-25.91,-2.64,Nylon fabric,,,,,,,,,
545,37.13,42.44,36.48,0.09,4.14,35.26,HFSS,3.6,0.175,2.24,-27.42,-0.37,Nylon fabric,,,,,,,,,
546,30.57,33.34,39.05,0.25,4.64,31,HFSS,3.6,0.175,2.55,-7.44,-0.65,Nylon fabric,,,,,,,,,
547,45.25,24.56,54.71,0.37,4.56,35.26,HFSS,3.6,0.175,2.24,-12.13,0.49,Nylon fabric,,,,,,,,,
548,24.43,58.16,53.90,1.20,9.94,40.47,HFSS,3.6,1.58,1.95,-29.76,-2.78,Nylon fabric,,,,,,,,,
549,40.35,52.27,39.21,1.09,6.44,40.47,HFSS,3.6,1.58,1.95,-10.49,-0.60,Nylon fabric,,,,,,,,,
550,40.92,47.65,44.51,0.25,8.20,35.89,HFSS,3.6,1.5,2.20,-14.49,-0.02,Nylon fabric,,,,,,,,,
551,20.68,53.59,44.48,0.78,6.25,31,HFSS,3.6,0.175,2.55,-15.41,-2.35,Nylon fabric,,,,,,,,,
552,42.65,44.25,36.61,0.08,4.07,35.26,HFSS,3.6,0.175,2.24,-11.29,0.23,Nylon fabric,,,,,,,,,
553,43.36,44.73,49.38,0.61,6.96,35.89,HFSS,3.6,1.5,2.20,-13.83,0.23,Nylon fabric,,,,,,,,,
554,22.10,59.46,51.23,0.76,7.02,35.89,HFSS,3.6,1.5,2.20,-16.16,-2.70,Nylon fabric,,,,,,,,,
555,28.62,31.74,38.24,0.26,4.84,31,HFSS,3.6,0.175,2.55,-20.21,-0.94,Nylon fabric,,,,,,,,,
556,28.38,55.25,34.75,0.51,8.64,35.89,HFSS,3.6,1.5,2.20,-15.11,-1.61,Nylon fabric,,,,,,,,,
557,36.78,58.22,40.63,0.51,4.36,35.26,HFSS,3.6,0.175,2.24,-29.14,-0.41,Nylon fabric,,,,,,,,,
558,43.12,62.05,45.29,0.65,8.38,40.47,HFSS,3.6,1.58,1.95,-20.87,-0.32,Nylon fabric,,,,,,,,,
559,35.85,46.61,50.19,0.77,7.30,35.89,HFSS,3.6,1.5,2.20,-13.66,-0.60,Nylon fabric,,,,,,,,,
560,23.29,44.43,44.81,0.37,9.13,35.89,HFSS,3.6,1.5,2.20,-14.28,-2.47,Nylon fabric,,,,,,,,,
561,18.63,34.73,43.44,0.37,2.17,35.26,HFSS,3.6,0.175,2.24,-26.01,-3.36,Nylon fabric,,,,,,,,,
562,48.47,68.11,47.85,0.24,3.80,35.26,HFSS,3.6,0.175,2.24,-23.31,0.79,Nylon fabric,,,,,,,,,
563,26.17,44.49,35.83,0.08,5.80,35.26,HFSS,3.6,0.175,2.24,-24.52,-1.89,Nylon fabric,,,,,,,,,
564,17.87,47.41,50.39,0.51,3.00,35.26,HFSS,3.6,0.175,2.24,-8.69,-3.54,Nylon fabric,,,,,,,,,
565,28.85,46.11,44.32,0.91,8.44,40.47,HFSS,3.6,1.58,1.95,-11.20,-2.06,Nylon fabric,,,,,,,,,
566,35.12,53.57,36.60,0.38,6.76,35.89,HFSS,3.6,1.5,2.20,-28.81,-0.69,Nylon fabric,,,,,,,,,
567,29.13,44.50,51.72,0.73,7.21,35.89,HFSS,3.6,1.5,2.20,-21.45,-1.50,Nylon fabric,,,,,,,,,
568,40.89,56.95,44.05,0.59,6.20,35.89,HFSS,3.6,1.5,2.20,-28.94,-0.02,Nylon fabric,,,,,,,,,
569,26.57,22.56,42.32,0.50,3.94,35.26,HFSS,3.6,0.175,2.24,-28.68,-1.82,Nylon fabric,,,,,,,,,
570,21.13,45.24,36.68,0.13,7.70,35.26,HFSS,3.6,0.175,2.24,-5.60,-2.81,Nylon fabric,,,,,,,,,
571,44.97,44.80,48.45,0.63,6.72,35.89,HFSS,3.6,1.5,2.20,-12.91,0.39,Nylon fabric,,,,,,,,,
572,22.54,50.95,47.06,0.25,6.07,35.89,HFSS,3.6,1.5,2.20,-16.02,-2.61,Nylon fabric,,,,,,,,,
573,32.89,53.76,37.12,0.39,6.49,35.89,HFSS,3.6,1.5,2.20,-8.30,-0.97,Nylon fabric,,,,,,,,,
574,29.00,48.02,44.78,0.92,8.48,40.47,HFSS,3.6,1.58,1.95,-22.94,-2.04,Nylon fabric,,,,,,,,,
575,24.67,49.15,43.26,0.63,4.84,40.47,HFSS,3.6,1.58,1.95,-19.85,-2.74,Nylon fabric,,,,,,,,,
576,30.92,62.30,42.48,0.77,7.38,40.47,HFSS,3.6,1.58,1.95,-27.34,-1.76,Nylon fabric,,,,,,,,,
577,43.79,57.47,43.56,1.23,7.17,40.47,HFSS,3.6,1.58,1.95,-10.85,-0.25,Nylon fabric,,,,,,,,,
578,35.52,48.84,61.07,0.38,3.97,35.26,HFSS,3.6,0.175,2.24,-10.41,-0.56,Nylon fabric,,,,,,,,,
579,32.71,40.01,51.49,0.65,8.63,35.89,HFSS,3.6,1.5,2.20,-26.00,-0.99,Nylon fabric,,,,,,,,,
580,29.31,22.81,46.00,0.49,3.70,35.26,HFSS,3.6,0.175,2.24,-11.16,-1.39,Nylon fabric,,,,,,,,,
581,37.98,32.80,30.31,0.74,5.96,31,HFSS,3.6,0.175,2.55,-10.84,0.29,Nylon fabric,,,,,,,,,
582,22.14,43.64,36.32,0.06,4.19,35.26,HFSS,3.6,0.175,2.24,-7.99,-2.61,Nylon fabric,,,,,,,,,
583,24.72,60.13,52.84,1.19,10.24,40.47,HFSS,3.6,1.58,1.95,-20.25,-2.73,Nylon fabric,,,,,,,,,
584,32.50,62.74,45.95,0.61,7.67,35.89,HFSS,3.6,1.5,2.20,-20.92,-1.02,Nylon fabric,,,,,,,,,
585,34.87,50.40,36.44,0.35,7.00,35.89,HFSS,3.6,1.5,2.20,-18.54,-0.72,Nylon fabric,,,,,,,,,
586,47.67,54.00,44.66,0.60,9.85,40.47,HFSS,3.6,1.58,1.95,-7.15,0.12,Nylon fabric,,,,,,,,,
587,33.85,45.06,35.17,0.09,7.78,35.26,HFSS,3.6,0.175,2.24,-8.93,-0.77,Nylon fabric,,,,,,,,,
588,44.84,42.40,38.82,0.11,6.27,35.26,HFSS,3.6,0.175,2.24,-9.76,0.45,Nylon fabric,,,,,,,,,
589,22.02,43.27,37.60,0.11,7.08,35.26,HFSS,3.6,0.175,2.24,-16.09,-2.64,Nylon fabric,,,,,,,,,
590,38.33,46.45,37.08,0.12,5.12,35.26,HFSS,3.6,0.175,2.24,-7.93,-0.23,Nylon fabric,,,,,,,,,
591,25.92,43.56,36.20,0.13,3.96,35.26,HFSS,3.6,0.175,2.24,-22.57,-1.93,Nylon fabric,,,,,,,,,
592,38.05,42.93,34.40,0.12,6.17,35.26,HFSS,3.6,0.175,2.24,-7.99,-0.26,Nylon fabric,,,,,,,,,
593,44.55,46.69,38.40,0.64,2.38,35.26,HFSS,3.6,0.175,2.24,-22.40,0.42,Nylon fabric,,,,,,,,,
594,40.30,50.91,51.97,0.94,4.89,40.47,HFSS,3.6,1.58,1.95,-15.61,-0.61,Nylon fabric,,,,,,,,,
595,18.23,44.68,47.62,0.48,3.00,35.26,HFSS,3.6,0.175,2.24,-21.31,-3.46,Nylon fabric,,,,,,,,,
596,30.95,44.14,37.52,0.13,4.90,35.26,HFSS,3.6,0.175,2.24,-25.98,-1.16,Nylon fabric,,,,,,,,,
597,37.74,56.98,41.32,0.92,9.52,40.47,HFSS,3.6,1.58,1.95,-11.75,-0.89,Nylon fabric,,,,,,,,,
598,27.26,43.66,34.73,0.11,7.71,35.26,HFSS,3.6,0.175,2.24,-19.82,-1.71,Nylon fabric,,,,,,,,,
599,28.40,68.68,38.31,0.36,2.89,35.26,HFSS,3.6,0.175,2.24,-18.29,-1.53,Nylon fabric,,,,,,,,,
600,36.11,63.75,47.19,0.37,5.85,35.89,HFSS,3.6,1.5,2.20,-14.29,-0.56,Nylon fabric,,,,,,,,,
601,39.42,32.87,32.12,0.72,5.87,31,HFSS,3.48,0.175,2.59,-6.68,0.60,Roger 4350,,,,,,,,,
602,37.54,44.96,52.33,0.74,7.14,35.89,HFSS,3.48,1.5,2.24,-5.99,-0.25,Roger 4350,,,,,,,,,
603,28.26,43.74,34.49,0.08,6.13,35.26,HFSS,3.48,0.175,2.28,-15.00,-1.41,Roger 4350,,,,,,,,,
604,26.94,55.00,35.17,0.50,8.54,35.89,HFSS,3.48,1.5,2.24,-6.55,-1.69,Roger 4350,,,,,,,,,
605,38.13,59.08,44.41,0.50,9.40,35.89,HFSS,3.48,1.5,2.24,-28.19,-0.18,Roger 4350,,,,,,,,,
606,47.25,46.41,52.66,1.13,7.70,40.47,HFSS,3.48,1.58,1.99,-16.07,0.23,Roger 4350,,,,,,,,,
607,46.69,53.14,39.25,1.29,8.88,40.47,HFSS,3.48,1.58,1.99,-9.75,0.18,Roger 4350,,,,,,,,,
