Experiment,width of patch,width of substrate,length of substrate,width of slot,Length of slot,Length of patch,Simulation tool used,Dielectric constant,Thickness of substrate,Resultant Frequency (GHz),Return Loss (S11) dB,gain (dBi),Substrate Material,,,,,,,,,
363,27.03322294,46.6552344,54.62808957,0.714739697,1.534379862,35.26,HFSS,10.7,0.175,1.29962,-24.06892333,-6.47618387,Duroid 6010,,,,,,,,,
364,28.08906708,42.03936911,37.84295642,0.10680982,8.062385997,35.26,HFSS,10.7,0.175,1.29962,-15.06831708,-6.309788978,Duroid 6010,,,,,,,,,
365,49.13148375,63.32009027,47.25027467,0.932034038,6.448100665,40.47,HFSS,10.7,1.58,1.132311,-12.59647181,-4.480072295,Duroid 6010,,,,,,,,,
366,24.14035304,48.81240118,41.15011079,0.646935064,4.76950751,40.47,HFSS,10.7,1.58,1.132311,-29.47417829,-7.566234923,Duroid 6010,,,,,,,,,
367,53.99382469,35.50057472,40.25495376,0.778512519,3.792965926,35.26,HFSS,10.7,0.175,1.29962,-16.32885026,-3.471721208,Duroid 6010,,,,,,,,,
368,46.81974335,43.17097866,34.64755484,0.76704879,5.879187275,35.89,HFSS,10.7,1.5,1.276807,-23.5036234,-4.167783346,Duroid 6010,,,,,,,,,
369,43.08769801,44.16073781,35.93939004,0.094692898,5.11343538,35.26,HFSS,10.7,0.175,1.29962,-19.61927004,-4.451629207,Duroid 6010,,,,,,,,,
370,22.57926743,52.89271116,47.50196072,0.249427924,5.897769476,35.89,HFSS,10.7,1.5,1.276807,-21.23548401,-7.334975159,Duroid 6010,,,,,,,,,
371,32.70502089,44.11549202,36.80186454,0.12520634,5.085722759,35.26,HFSS,10.7,0.175,1.29962,-8.962128819,-5.649017821,Duroid 6010,,,,,,,,,
372,45.08925952,63.40296796,52.2805392,0.245248174,9.241720864,35.89,HFSS,10.7,1.5,1.276807,-22.96023178,-4.331342602,Duroid 6010,,,,,,,,,
373,31.62828936,49.1307576,45.28081656,1.079674511,10.20448509,40.47,HFSS,10.7,1.58,1.132311,-23.77592844,-6.392914059,Duroid 6010,,,,,,,,,
374,35.08994029,49.45936901,47.71632612,1.297052742,6.38627676,40.47,HFSS,10.7,1.58,1.132311,-8.888044266,-5.941844801,Duroid 6010,,,,,,,,,
375,30.8006669,40.15652663,41.08568518,0.385004682,5.580968409,31,HFSS,10.7,0.175,1.478213,-29.93185617,-5.350354788,Duroid 6010,,,,,,,,,
376,21.15124181,43.61923553,36.27832634,0.094172552,5.969279867,35.26,HFSS,10.7,0.175,1.29962,-7.437373394,-7.541803427,Duroid 6010,,,,,,,,,
377,36.52614927,59.65538983,42.89743728,1.122442839,4.696648483,40.47,HFSS,10.7,1.58,1.132311,-10.29997271,-5.767632198,Duroid 6010,,,,,,,,,
378,22.23987438,43.972426,47.06122864,0.363909918,8.799190387,35.89,HFSS,10.7,1.5,1.276807,-17.33865487,-7.400750335,Duroid 6010,,,,,,,,,
379,34.68909282,53.15117326,54.15835514,0.245239541,6.055303402,35.89,HFSS,10.7,1.5,1.276807,-18.18289669,-5.470144209,Duroid 6010,,,,,,,,,
380,44.41757381,54.54865613,40.19722917,1.073581732,6.112121022,40.47,HFSS,10.7,1.58,1.132311,-28.36600224,-4.918122767,Duroid 6010,,,,,,,,,
381,40.10688476,39.12289973,54.04316767,0.387828514,7.25874669,35.89,HFSS,10.7,1.5,1.276807,-19.75716867,-4.839884331,Duroid 6010,,,,,,,,,
382,45.23315355,47.58319131,42.29960713,0.629201324,6.618506606,35.89,HFSS,10.7,1.5,1.276807,-12.00036873,-4.317504965,Duroid 6010,,,,,,,,,
383,42.02707145,43.25653941,36.61969904,0.075763795,3.909623781,35.26,HFSS,10.7,0.175,1.29962,-15.49678858,-4.559870846,Duroid 6010,,,,,,,,,
384,18.22053378,72.83635045,59.91605412,0.719126579,4.468628325,35.26,HFSS,10.7,0.175,1.29962,-24.91652911,-8.189551173,Duroid 6010,,,,,,,,,
385,39.98013416,24.86951472,42.55636602,0.640642766,4.655967479,31,HFSS,10.7,0.175,1.478213,-24.78102286,-4.217513517,Duroid 6010,,,,,,,,,
386,21.42953571,43.20450913,35.71270891,0.125650722,7.841777284,35.26,HFSS,10.7,0.175,1.29962,-26.4960329,-7.485034511,Duroid 6010,,,,,,,,,
387,37.37800854,40.94248448,49.62808202,0.620751432,9.408644398,35.89,HFSS,10.7,1.5,1.276807,-26.38259638,-5.145912044,Duroid 6010,,,,,,,,,
388,34.63208379,47.93170061,50.91339358,0.351562507,9.063185352,35.89,HFSS,10.7,1.5,1.276807,-16.17807064,-5.477287398,Duroid 6010,,,,,,,,,
389,24.03040211,52.27570328,48.1833041,0.947348655,7.186367551,40.47,HFSS,10.7,1.58,1.132311,-24.61515239,-7.586060713,Duroid 6010,,,,,,,,,
390,18.85369512,69.30218012,60.19299279,0.713597439,4.435660993,35.26,HFSS,10.7,0.175,1.29962,-25.59375625,-8.04119733,Duroid 6010,,,,,,,,,
391,30.80108143,55.58494624,54.94951424,0.612475854,6.346498956,40.47,HFSS,10.7,1.58,1.132311,-22.56215167,-6.508011445,Duroid 6010,,,,,,,,,
392,46.92552874,24.26945237,52.20918527,0.38129235,4.497475684,35.26,HFSS,10.7,0.175,1.29962,-13.50123095,-4.081070382,Duroid 6010,,,,,,,,,
393,22.00220895,46.49796659,36.58694525,0.123341268,7.754064334,35.26,HFSS,10.7,0.175,1.29962,-28.28768588,-7.370499283,Duroid 6010,,,,,,,,,
394,37.52763067,42.6609763,36.09739218,0.081384849,7.771988889,35.26,HFSS,10.7,0.175,1.29962,-18.11069778,-5.051650672,Duroid 6010,,,,,,,,,
395,35.18004887,59.79216327,42.7044722,1.12297785,4.930402023,40.47,HFSS,10.7,1.58,1.132311,-22.2845817,-5.93070671,Duroid 6010,,,,,,,,,
396,37.41754806,62.77196364,46.08871156,1.089859557,4.810816634,40.47,HFSS,10.7,1.58,1.132311,-25.009945,-5.662917842,Duroid 6010,,,,,,,,,
397,35.97623532,69.86399542,46.31031094,0.629015806,1.578319031,35.26,HFSS,10.7,0.175,1.29962,-19.31960591,-5.235004977,Duroid 6010,,,,,,,,,
398,43.4217786,52.17662873,54.71524624,0.911846393,4.743399892,40.47,HFSS,10.7,1.58,1.132311,-26.64329929,-5.016595007,Duroid 6010,,,,,,,,,
399,34.86171312,59.92793547,54.59307348,0.712587058,6.854696694,35.89,HFSS,10.7,1.5,1.276807,-23.92440252,-5.448586386,Duroid 6010,,,,,,,,,
400,46.87524527,44.82027115,43.56663785,0.737800216,6.268907643,35.89,HFSS,10.7,1.5,1.276807,-25.56715907,-4.162638101,Duroid 6010,,,,,,,,,
401,24.69405447,52.0241887,30.27409701,0.354813223,4.89649448,31,HFSS,10.7,0.175,1.478213,-23.26882855,-6.31003197,Duroid 6010,,,,,,,,,
402,23.03273393,60.09700559,48.21594303,1.145879589,8.728778732,40.47,HFSS,10.7,1.58,1.132311,-21.01006331,-7.770216186,Duroid 6010,,,,,,,,,
403,39.05097696,45.36773649,35.87864369,0.356804295,3.102948005,31,HFSS,10.7,0.175,1.478213,-19.64084279,-4.319636954,Duroid 6010,,,,,,,,,
404,33.53073034,51.76871647,34.68222371,0.363468351,7.04541665,35.89,HFSS,10.7,1.5,1.276807,-23.17167639,-5.617643504,Duroid 6010,,,,,,,,,
405,29.53621325,51.51081509,35.83076951,0.645140678,3.396724519,31,HFSS,10.7,0.175,1.478213,-18.78975298,-5.532407838,Duroid 6010,,,,,,,,,
406,35.69591736,41.71874682,47.2382244,0.259684541,6.738063222,35.89,HFSS,10.7,1.5,1.276807,-25.49317659,-5.345888159,Duroid 6010,,,,,,,,,
407,21.86084896,44.7433147,38.06876326,0.093448825,6.022322972,35.26,HFSS,10.7,0.175,1.29962,-25.78213661,-7.398491892,Duroid 6010,,,,,,,,,
408,42.65782286,59.89136481,54.09552474,0.499002966,6.75387663,35.89,HFSS,10.7,1.5,1.276807,-25.1913625,-4.572086769,Duroid 6010,,,,,,,,,
409,27.1091052,43.28684749,36.21032683,0.064810991,4.764939361,35.26,HFSS,10.7,0.175,1.29962,-15.76037266,-6.4640103,Duroid 6010,,,,,,,,,
410,22.3839102,44.71566149,46.44096309,0.362419284,9.018039377,35.89,HFSS,10.7,1.5,1.276807,-6.77377075,-7.372714085,Duroid 6010,,,,,,,,,
411,23.29249294,38.75502677,39.07352273,0.510097644,8.588192783,35.89,HFSS,10.7,1.5,1.276807,-25.31626587,-7.199913908,Duroid 6010,,,,,,,,,
412,21.35570965,46.89540609,36.63322272,0.110115822,6.964578561,35.26,HFSS,10.7,0.175,1.29962,-13.29021291,-7.500022053,Duroid 6010,,,,,,,,,
413,27.08348317,52.28597469,56.531088,0.594692345,7.832378837,35.89,HFSS,10.7,1.5,1.276807,-16.36423648,-6.545028457,Duroid 6010,,,,,,,,,
414,29.08292684,45.47619487,48.76105021,0.758647247,7.491583081,35.89,HFSS,10.7,1.5,1.276807,-20.2880858,-6.235692526,Duroid 6010,,,,,,,,,
415,20.97019853,44.8120284,36.383993,0.081495495,5.119096383,35.26,HFSS,10.7,0.175,1.29962,-26.31707218,-7.579136709,Duroid 6010,,,,,,,,,
416,45.96850738,24.1723871,53.87551255,0.380071363,4.616642791,35.26,HFSS,10.7,0.175,1.29962,-23.4463355,-4.170558107,Duroid 6010,,,,,,,,,
417,46.69781196,54.09234388,42.29753689,0.642853502,10.006398,40.47,HFSS,10.7,1.58,1.132311,-18.95899568,-4.700705773,Duroid 6010,,,,,,,,,
418,43.17706132,44.07597577,41.37919475,0.594424867,6.668120419,35.89,HFSS,10.7,1.5,1.276807,-19.72022315,-4.519542829,Duroid 6010,,,,,,,,,
419,22.71786352,48.10637755,46.86761205,0.372621475,9.290310778,35.89,HFSS,10.7,1.5,1.276807,-15.20980187,-7.308398771,Duroid 6010,,,,,,,,,
420,26.7898448,61.04881534,58.09210958,0.255397004,2.36171874,35.26,HFSS,10.7,0.175,1.29962,-6.077892331,-6.515460153,Duroid 6010,,,,,,,,,
421,37.48491423,43.20251847,35.40478227,0.061590248,6.971617558,35.26,HFSS,10.7,0.175,1.29962,-17.37138621,-5.056596915,Duroid 6010,,,,,,,,,
422,23.56411077,61.93233775,51.05146744,1.267778728,10.16691695,40.47,HFSS,10.7,1.58,1.132311,-14.22304535,-7.671160537,Duroid 6010,,,,,,,,,
423,21.31292541,61.81475976,34.55905748,0.592995476,7.240022361,35.89,HFSS,10.7,1.5,1.276807,-5.144022169,-7.585642982,Duroid 6010,,,,,,,,,
424,48.15385945,61.74050266,47.33333157,0.965106176,6.327081367,40.47,HFSS,10.7,1.58,1.132311,-5.981359812,-4.567360085,Duroid 6010,,,,,,,,,
425,22.66980385,49.34793924,47.14722862,0.238423784,6.23486597,35.89,HFSS,10.7,1.5,1.276807,-29.7302641,-7.317596009,Duroid 6010,,,,,,,,,
426,31.42878993,46.25783561,43.09646402,0.90269086,8.698793695,40.47,HFSS,10.7,1.58,1.132311,-5.447918623,-6.420394492,Duroid 6010,,,,,,,,,
427,29.71728285,52.85490891,46.81632988,1.109008283,9.505102249,40.47,HFSS,10.7,1.58,1.132311,-22.40468114,-6.663580115,Duroid 6010,,,,,,,,,
428,32.29018889,40.75116198,49.86103792,0.627216173,8.903689319,35.89,HFSS,10.7,1.5,1.276807,-27.87090456,-5.781367778,Duroid 6010,,,,,,,,,
429,40.559039,46.13785563,36.79132981,0.250371778,8.600016809,35.89,HFSS,10.7,1.5,1.276807,-16.43687946,-4.79119707,Duroid 6010,,,,,,,,,
430,23.36955968,41.21323239,40.62075008,0.508353962,8.341229734,35.89,HFSS,10.7,1.5,1.276807,-25.03744458,-7.185568337,Duroid 6010,,,,,,,,,
431,47.62575444,53.84249099,40.7758209,1.277780475,8.427302876,40.47,HFSS,10.7,1.58,1.132311,-26.27696292,-4.61525241,Duroid 6010,,,,,,,,,
432,56.26993067,23.00776118,56.70922714,0.608755869,3.017227646,35.26,HFSS,10.7,0.175,1.29962,-13.68854178,-3.292398329,Duroid 6010,,,,,,,,,
433,42.84259873,55.47061401,53.8271298,0.378328197,8.299808962,35.89,HFSS,10.7,1.5,1.276807,-26.41101883,-4.553315571,Duroid 6010,,,,,,,,,
434,26.41374475,45.49160802,38.62159491,0.061160695,4.953402638,35.26,HFSS,10.7,0.175,1.29962,-29.60722259,-6.576862362,Duroid 6010,,,,,,,,,
435,48.86113863,53.6375444,41.63179701,1.208998277,8.764662807,40.47,HFSS,10.7,1.58,1.132311,-25.59595894,-4.504035261,Duroid 6010,,,,,,,,,
436,24.2119429,52.12742492,44.54870651,0.90747685,7.09664628,40.47,HFSS,10.7,1.58,1.132311,-23.81209183,-7.553374683,Duroid 6010,,,,,,,,,
437,27.12563487,22.89152004,43.30544704,0.517511666,3.764346441,35.26,HFSS,10.7,0.175,1.29962,-23.09220013,-6.461363015,Duroid 6010,,,,,,,,,
438,43.56494586,56.51600586,52.01269699,0.37814762,8.296527445,35.89,HFSS,10.7,1.5,1.276807,-23.89293223,-4.480701847,Duroid 6010,,,,,,,,,
439,19.61650343,25.65624126,30.72248976,0.2601099,3.289956905,31,HFSS,10.7,0.175,1.478213,-26.6934487,-7.309740004,Duroid 6010,,,,,,,,,
440,29.80753523,45.34109097,31.53770354,0.49453197,6.205581353,31,HFSS,10.7,0.175,1.478213,-9.265404873,-5.492695329,Duroid 6010,,,,,,,,,
441,32.23202701,52.46005379,36.48222345,0.370797475,6.700254343,35.89,HFSS,10.7,1.5,1.276807,-27.06578622,-5.78919745,Duroid 6010,,,,,,,,,
442,18.73972167,36.22882471,45.27587608,0.383742598,2.274295601,35.26,HFSS,10.7,0.175,1.29962,-24.38008326,-8.067530766,Duroid 6010,,,,,,,,,
443,35.00087723,55.49653536,52.63644038,0.77394184,6.539803163,35.89,HFSS,10.7,1.5,1.276807,-9.244755016,-5.431284341,Duroid 6010,,,,,,,,,
444,28.39225117,70.58341274,40.53971448,0.355309738,3.157904308,35.26,HFSS,10.7,0.175,1.29962,-29.24272088,-6.263163847,Duroid 6010,,,,,,,,,
445,19.28783146,44.52790437,48.54909491,0.496741379,3.01040616,35.26,HFSS,10.7,0.175,1.29962,-28.05228585,-7.942328106,Duroid 6010,,,,,,,,,
446,45.61439784,43.28485712,45.10319089,0.731510401,5.85025126,35.89,HFSS,10.7,1.5,1.276807,-29.47642026,-4.281054173,Duroid 6010,,,,,,,,,
447,35.28143629,49.2049936,36.09352821,0.258321146,5.934034097,31,HFSS,10.7,0.175,1.478213,-22.64291022,-4.760493421,Duroid 6010,,,,,,,,,
448,45.86366412,56.53612385,48.73082548,0.357055208,8.364032338,35.89,HFSS,10.7,1.5,1.276807,-29.75625628,-4.257386151,Duroid 6010,,,,,,,,,
449,44.9002244,43.96393888,35.89084921,0.747326415,6.035979537,35.89,HFSS,10.7,1.5,1.276807,-28.75729051,-4.349588518,Duroid 6010,,,,,,,,,
450,18.92444178,23.87329645,40.77422802,0.259999711,1.480580154,35.26,HFSS,10.7,0.175,1.29962,-12.01500685,-8.02493135,Duroid 6010,,,,,,,,,
451,31.91876057,54.5961543,41.50219535,0.240240015,7.191739834,35.89,HFSS,3.6,1.5,2.201233,-6.148532862,-1.100800674,Nylon fabric,,,,,,,,,
452,39.50949461,31.90839189,30.99077092,0.727236106,5.524383656,31,HFSS,3.6,0.175,2.54846,-19.30865422,0.461871525,Nylon fabric,,,,,,,,,
453,37.9931178,63.50392764,49.27453494,0.381852359,5.854516314,35.89,HFSS,3.6,1.5,2.201233,-23.5141519,-0.344211523,Nylon fabric,,,,,,,,,
454,57.48585713,23.31546707,60.96823699,0.595233134,2.971824308,35.26,HFSS,3.6,0.175,2.240563,-5.585627144,1.531260752,Nylon fabric,,,,,,,,,
455,40.46890954,53.23452095,52.11840754,0.983298808,4.819006936,40.47,HFSS,3.6,1.58,1.952119,-19.53242894,-0.591643302,Nylon fabric,,,,,,,,,
456,37.12468724,49.3946186,55.33533032,0.5915869,8.284638402,35.89,HFSS,3.6,1.5,2.201233,-23.73572121,-0.444632828,Nylon fabric,,,,,,,,,
457,26.85565975,43.7687166,37.65102857,0.11916417,4.110578618,35.26,HFSS,3.6,0.175,2.240563,-7.456150091,-1.7739911,Nylon fabric,,,,,,,,,
458,29.31299989,46.79172764,55.09276924,0.72127071,1.579047216,35.26,HFSS,3.6,0.175,2.240563,-27.08149087,-1.393746697,Nylon fabric,,,,,,,,,
459,47.22849793,52.32908094,40.6206721,1.192085539,8.29598969,40.47,HFSS,3.6,1.58,1.952119,-26.87910591,0.079183009,Nylon fabric,,,,,,,,,
460,30.28234721,63.05742481,42.5758977,0.757425949,7.272371692,40.47,HFSS,3.6,1.58,1.952119,-13.61528369,-1.850962978,Nylon fabric,,,,,,,,,
461,33.23917929,45.32026404,37.80110425,0.121024983,4.992340451,35.26,HFSS,3.6,0.175,2.240563,-17.75009008,-0.84784644,Nylon fabric,,,,,,,,,
462,29.37566967,61.91902264,41.83257489,0.820235663,7.323203689,40.47,HFSS,3.6,1.58,1.952119,-24.5552515,-1.982980566,Nylon fabric,,,,,,,,,
463,25.53800328,26.90950456,35.60124736,0.490631066,5.925606674,31,HFSS,3.6,0.175,2.54846,-20.90002989,-1.433273835,Nylon fabric,,,,,,,,,
464,48.02373119,33.74775945,57.22016521,0.487912385,1.581670682,35.26,HFSS,3.6,0.175,2.240563,-23.4902075,0.750209634,Nylon fabric,,,,,,,,,
465,50.62970613,62.27721921,47.53920337,0.910152734,6.176865805,40.47,HFSS,3.6,1.58,1.952119,-9.658016447,0.381195741,Nylon fabric,,,,,,,,,
466,37.95583596,50.81354869,44.96725267,0.369186512,6.605628679,35.89,HFSS,3.6,1.5,2.201233,-22.20089617,-0.348475254,Nylon fabric,,,,,,,,,
467,38.35083578,44.79535256,37.68687995,0.077414091,7.793978352,35.26,HFSS,3.6,0.175,2.240563,-23.0098428,-0.226601031,Nylon fabric,,,,,,,,,
468,40.36328942,32.98602452,30.99390718,0.774402125,5.482965224,31,HFSS,3.6,0.175,2.54846,-27.5582184,0.554722301,Nylon fabric,,,,,,,,,
469,29.21723453,60.97123671,57.91321985,0.244537378,2.220268747,35.26,HFSS,3.6,0.175,2.240563,-20.78549423,-1.407958293,Nylon fabric,,,,,,,,,
470,46.97617316,59.36173619,45.18036482,0.737002941,2.922260186,35.26,HFSS,3.6,0.175,2.240563,-12.94790772,0.654426987,Nylon fabric,,,,,,,,,
471,32.21820345,43.64293179,35.30034141,0.06183454,6.289736301,35.26,HFSS,3.6,0.175,2.240563,-26.86808847,-0.983336164,Nylon fabric,,,,,,,,,
472,21.05490625,42.47891438,35.62854403,0.065282663,4.084194595,35.26,HFSS,3.6,0.175,2.240563,-26.41752043,-2.83081624,Nylon fabric,,,,,,,,,
473,38.45113281,43.52273192,35.24007675,0.064605721,7.052478503,35.26,HFSS,3.6,0.175,2.240563,-15.32258489,-0.21525797,Nylon fabric,,,,,,,,,
474,45.19532325,41.56351065,36.540668,0.108309972,5.815758989,35.26,HFSS,3.6,0.175,2.240563,-9.018607891,0.486585609,Nylon fabric,,,,,,,,,
475,34.57687963,49.61299833,44.77020086,1.217458187,5.950492709,40.47,HFSS,3.6,1.58,1.952119,-26.95754242,-1.275000344,Nylon fabric,,,,,,,,,
476,47.16778854,51.29629705,40.4688997,1.302193455,8.917556424,40.47,HFSS,3.6,1.58,1.952119,-10.96451167,0.073596824,Nylon fabric,,,,,,,,,
477,44.59926797,50.79457885,49.45499213,0.487494107,7.18599069,35.89,HFSS,3.6,1.5,2.201233,-16.53383153,0.352016441,Nylon fabric,,,,,,,,,
478,37.26407206,53.82008011,54.17626806,0.589073256,8.541948587,35.89,HFSS,3.6,1.5,2.201233,-28.29648596,-0.428357753,Nylon fabric,,,,,,,,,
479,18.65503125,35.0062544,44.30491931,0.381285753,2.230859472,35.26,HFSS,3.6,0.175,2.240563,-12.75774439,-3.356389551,Nylon fabric,,,,,,,,,
480,39.10982494,47.18101535,36.04441536,0.061449605,7.265684661,35.26,HFSS,3.6,0.175,2.240563,-10.14545967,-0.141490641,Nylon fabric,,,,,,,,,
481,19.80917551,45.12757149,38.422992,0.625927468,5.698417847,31,HFSS,3.6,0.175,2.54846,-14.85671437,-2.536479221,Nylon fabric,,,,,,,,,
482,28.18952727,42.24527046,42.9724092,0.238145338,6.833180422,35.89,HFSS,3.6,1.5,2.201233,-10.58039331,-1.640382935,Nylon fabric,,,,,,,,,
483,33.49212087,44.01287264,55.02447719,0.523267071,5.934806449,35.89,HFSS,3.6,1.5,2.201233,-8.855114429,-0.891834365,Nylon fabric,,,,,,,,,
484,36.31583497,54.42050728,52.1458968,0.768486167,8.785810072,40.47,HFSS,3.6,1.58,1.952119,-5.892780164,-1.061897986,Nylon fabric,,,,,,,,,
485,24.13125252,30.68069304,35.71395637,0.605185472,6.346741037,31,HFSS,3.6,0.175,2.54846,-25.62967733,-1.679344576,Nylon fabric,,,,,,,,,
486,34.0601273,37.31454304,30.85076944,0.631503491,3.979540808,31,HFSS,3.6,0.175,2.54846,-6.29699835,-0.182680551,Nylon fabric,,,,,,,,,
487,37.88363525,54.71135835,52.78338315,0.80773378,8.475650082,40.47,HFSS,3.6,1.58,1.952119,-28.30352777,-0.87834186,Nylon fabric,,,,,,,,,
488,38.93296231,63.66832905,51.76321022,0.72658707,8.516230862,35.89,HFSS,3.6,1.5,2.201233,-18.24310376,-0.238086371,Nylon fabric,,,,,,,,,
489,38.13492853,46.74812882,57.01921418,0.385264809,3.694496725,35.26,HFSS,3.6,0.175,2.240563,-7.421183307,-0.251119993,Nylon fabric,,,,,,,,,
490,48.55146775,59.46869784,49.75085544,0.910380513,6.161728149,40.47,HFSS,3.6,1.58,1.952119,-8.207221268,0.199165311,Nylon fabric,,,,,,,,,
491,39.17709243,40.0612865,33.05515664,0.25231005,6.348630756,31,HFSS,3.6,0.175,2.54846,-5.951020369,0.425178793,Nylon fabric,,,,,,,,,
492,42.98812798,44.50631106,35.37118719,0.077264912,3.993797417,35.26,HFSS,3.6,0.175,2.240563,-29.96453548,0.269135971,Nylon fabric,,,,,,,,,
493,33.62529334,43.30304669,37.24701894,0.095614356,7.720666224,35.26,HFSS,3.6,0.175,2.240563,-28.4685711,-0.797688543,Nylon fabric,,,,,,,,,
494,18.75045361,45.78992521,47.78413485,0.497552613,2.926792332,35.26,HFSS,3.6,0.175,2.240563,-21.34175874,-3.334231573,Nylon fabric,,,,,,,,,
495,50.71254367,58.26719192,48.0839062,0.951317606,6.239560201,40.47,HFSS,3.6,1.58,1.952119,-25.81965844,0.388295622,Nylon fabric,,,,,,,,,
496,47.2064955,54.62470271,43.06649326,0.632990719,9.620585111,40.47,HFSS,3.6,1.58,1.952119,-27.9567608,0.077159281,Nylon fabric,,,,,,,,,
497,25.02555434,49.80328876,42.22190617,0.598161105,4.857390091,40.47,HFSS,3.6,1.58,1.952119,-17.88633254,-2.679021261,Nylon fabric,,,,,,,,,
498,43.05655095,51.05857327,54.06630759,0.941999188,4.996229725,40.47,HFSS,3.6,1.58,1.952119,-26.8979089,-0.322465948,Nylon fabric,,,,,,,,,
499,43.36098835,60.86901959,55.30990694,0.246884536,8.827535509,35.89,HFSS,3.6,1.5,2.201233,-11.6045377,0.229730864,Nylon fabric,,,,,,,,,
500,37.37136035,22.54947025,48.04784853,0.736090591,2.221679613,35.26,HFSS,3.6,0.175,2.240563,-6.04961791,-0.338960292,Nylon fabric,,,,,,,,,
501,29.79889867,38.29383785,44.43340731,0.378487333,5.788382174,31,HFSS,3.6,0.175,2.54846,-11.35775053,-0.763141085,Nylon fabric,,,,,,,,,
502,35.05956713,58.01036481,39.91159377,0.254005598,7.70673743,35.89,HFSS,3.6,1.5,2.201233,-20.76752547,-0.693195367,Nylon fabric,,,,,,,,,
503,48.19037062,60.70680533,47.29327264,0.953671952,6.228193814,40.47,HFSS,3.6,1.58,1.952119,-14.53799248,0.166744339,Nylon fabric,,,,,,,,,
504,29.52957134,49.35985648,41.90046435,0.95797101,9.04037142,40.47,HFSS,3.6,1.58,1.952119,-26.96040416,-1.960286899,Nylon fabric,,,,,,,,,
505,47.8298155,70.06078476,47.89637922,0.255188311,3.661187433,35.26,HFSS,3.6,0.175,2.240563,-21.21640232,0.732637696,Nylon fabric,,,,,,,,,
506,39.22305542,46.29817215,36.23102706,0.386131499,3.231665656,31,HFSS,3.6,0.175,2.54846,-19.50264658,0.430270997,Nylon fabric,,,,,,,,,
507,23.78337723,43.98751429,42.57660772,0.239083593,4.091720277,31,HFSS,3.6,0.175,2.54846,-29.12637379,-1.742407976,Nylon fabric,,,,,,,,,
508,32.33141687,57.50707245,41.89035561,0.245399767,7.107633704,35.89,HFSS,3.6,1.5,2.201233,-26.41041685,-1.045013492,Nylon fabric,,,,,,,,,
509,45.78958712,47.33175991,39.86671562,0.633694035,6.691285995,35.89,HFSS,3.6,1.5,2.201233,-27.82233956,0.466406412,Nylon fabric,,,,,,,,,
510,35.47650895,54.90057854,42.92190844,0.929540915,9.796579248,40.47,HFSS,3.6,1.58,1.952119,-10.24946963,-1.163449558,Nylon fabric,,,,,,,,,
511,36.24483664,54.66566936,54.24135565,0.793444695,8.916350205,40.47,HFSS,3.6,1.58,1.952119,-25.66660749,-1.070396858,Nylon fabric,,,,,,,,,
512,22.66808873,42.87597485,35.57653185,0.079046935,4.829207926,35.26,HFSS,3.6,0.175,2.240563,-22.10497488,-2.510200322,Nylon fabric,,,,,,,,,
513,27.57506141,58.86341614,34.6125301,0.486838355,9.31537315,35.89,HFSS,3.6,1.5,2.201233,-9.796111838,-1.736095981,Nylon fabric,,,,,,,,,
514,37.19679277,59.63893533,41.15547858,0.524835433,4.44961202,35.26,HFSS,3.6,0.175,2.240563,-29.73728405,-0.359294408,Nylon fabric,,,,,,,,,
515,45.99818947,54.7898098,50.06100842,0.387935869,8.463996961,35.89,HFSS,3.6,1.5,2.201233,-12.14111563,0.486146514,Nylon fabric,,,,,,,,,
516,39.99515081,53.92053126,49.00414017,0.741232076,9.23687476,35.89,HFSS,3.6,1.5,2.201233,-27.35242437,-0.121187476,Nylon fabric,,,,,,,,,
517,35.56123348,72.00543214,42.02945909,0.618765855,1.542712242,35.26,HFSS,3.6,0.175,2.240563,-18.37040568,-0.554581195,Nylon fabric,,,,,,,,,
518,34.71635003,52.49987314,49.96929163,0.603744596,7.065799561,40.47,HFSS,3.6,1.58,1.952119,-24.95587381,-1.25751774,Nylon fabric,,,,,,,,,
519,36.9272721,47.08198802,38.19727681,0.05987049,7.162468055,35.26,HFSS,3.6,0.175,2.240563,-7.647717457,-0.390877096,Nylon fabric,,,,,,,,,
520,23.31413042,44.58468991,45.81892033,0.386613262,8.775358024,35.89,HFSS,3.6,1.5,2.201233,-12.45669277,-2.465068648,Nylon fabric,,,,,,,,,
521,42.4228768,44.34173594,38.68735044,0.108745346,5.787419132,35.26,HFSS,3.6,0.175,2.240563,-28.88226024,0.211651798,Nylon fabric,,,,,,,,,
522,38.26210605,59.45885089,39.17813199,0.484167389,4.54804602,35.26,HFSS,3.6,0.175,2.240563,-12.56765073,-0.23666065,Nylon fabric,,,,,,,,,
523,39.72314164,52.76059938,45.71873548,0.351609312,6.439857242,35.89,HFSS,3.6,1.5,2.201233,-29.10050154,-0.150824976,Nylon fabric,,,,,,,,,
524,48.61069741,34.57007605,60.10361406,0.510717361,1.551754185,35.26,HFSS,3.6,0.175,2.240563,-24.68043516,0.802969159,Nylon fabric,,,,,,,,,
525,20.69595915,24.79178644,31.82595181,0.260207472,3.208416067,31,HFSS,3.6,0.175,2.54846,-28.28479704,-2.346287633,Nylon fabric,,,,,,,,,
526,34.74135969,39.44317287,31.38869757,0.628407404,4.199414895,31,HFSS,3.6,0.175,2.54846,-18.34389674,-0.096675102,Nylon fabric,,,,,,,,,
